ID EVENT uniek	E_aantal keer vermeld	Titel	DATUM KRANT	Onderwerp	Thema's_categorie	city	country	continent	spreker_samengevoegd	organisator1_gestandaardiseerd	Locatie	Locatie_gestandaardiseerd	STAD STANDAARD_GEGROEPEERD	period
EID741	1.0	Het Handelsblad	1903-05-26 00:00:00	zijne langdurige en merkwaardige ontdekkingstochten in de onbekende binnenlanden van Azië	travel			Azië	HedinSven Anders	Aardrijkskundig Genootschap 	kleine zaal der Harmonie	Koninklijke Harmonie Maatschappij	Antwerpen	1902-1904
EID1307	2.0	Le Nouveau Précurseur	1904-03-03 00:00:00	"""Le Sahara et les pêcheries sahariennes"""	travel			Afrika	HauttecoeurHenri Théodore Léon Joseph	Aardrijkskundig Genootschap 	"""l'Hôtel de Ville"""	Stadshuis	Antwerpen	1902-1904
EID1609	1.0	Het Laatste Nieuws 	1904-10-03 00:00:00	Over den Congostaat'	travel		Congo	Afrika	BulsCharles Gommaire François	Aardrijkskundig Genootschap 	Aardrijkskundig Genootschap			1902-1904
EID1698	1.0	Het Handelsblad	1904-11-24 00:00:00	zijn tweejarig verblijf in de Zuidpoolstreken	travel			Antartica	NordenskjoldNils Otto Gustaf	Aardrijkskundig Genootschap 	de kleine zaal der Harmonie	Koninklijke Harmonie Maatschappij	Antwerpen	1902-1904
EID1704	1.0	Gazet van Antwerpen	1904-11-25 00:00:00	Noordpool	travel			Antartica	NordenskjoldNils Otto Gustaf	Aardrijkskundig Genootschap 	Kleine zaal der Harmonie	Koninklijke Harmonie Maatschappij	Antwerpen	1902-1904
EID1761	2.0	Le Nouveau Précurseur	1904-12-13 00:00:00	"""Ascensions dans l'Himalaya"""	travel			Azië	Bullock WerkmanFanny	Aardrijkskundig Genootschap 	"""Hôtel de Ville (salle des mariages)"""	Stadshuis	Antwerpen	1902-1904
EID1813	3.0	Le Nouveau Précurseur	1904-12-20 00:00:00	la Tripolitaine ancienne et moderne 	travel		Libië	Afrika	Mathuisieulx	Aardrijkskundig Genootschap 	l'hôtel de ville, salle des mariages	Stadshuis	Antwerpen	1902-1904
EID1903	1.0	Het Handelsblad	1914-01-09 00:00:00	L'Albanie du Nord et ses habitants	travel		Albanië	Europa	Nopesa	Aardrijkskundig Genootschap 	Roode Zaal der Harmonie	Koninklijke Harmonie Maatschappij	Antwerpen	1914-1918
EID1973	2.0	Het Handelsblad	1914-01-23 00:00:00	het Kanaal van Panama 	maatschappelijk			Amerika	Jullidières	Aardrijkskundig Genootschap 	Variétés-Schouwburg	Variétés-schouwburg	Antwerpen	1914-1918
EID2185	3.0	Het Handelsblad	1914-02-19 00:00:00	Mission en Mésopotamie	maatschappelijk			Azië	Bey de SimoSanto	Aardrijkskundig Genootschap 	stadhuis (trouwzaal)	Stadshuis	Antwerpen	1914-1918
